material;descricao;categoria
31_000006142;FRESA  FTE2C D6x15xD6x80L R3XTR 88422087;Rotativas
31_003103042;FRESA 20x170 MEC20-S20-170-11T;Rotativas
31_003104049;FRESA D.16 NB-MEC16-S15-200-11T-AA1;Rotativas
31_000005439-R;FRESA DE TOPO Ø8,0 mm (5439-TRANSF.);Rotativas
31_000004714;FRESA FTR MD 2C 7226-Ø20x37xD20x92L XTR;Rotativas
31_000005440-R;FRESA FTR MD 7226-10 Ø10 (5440-TRANSF.);Rotativas
31_000002202;FRESA FTT. 7C.8420-CT-25 Ø5x45L R1,2;Rotativas
31_000017961-R;FRESA T. MD. 4C. Ø12x10 (17961-AFIADA);Rotativas
31_000002130;FRESA TOPO ESP. 7C.8420-CT-02 Ø3xR1,0;Rotativas
31_000002201;FRESA TOPO ESP. 7C.8420-CT-24 Ø4xR1,0;Rotativas
31_000004163;FRESA TOPO ESP. 7C.8420-CT-40 Ø5xR2,5;Rotativas
31_000002131-R;FRESA TOPO ESP.Ø4xR0,0 (2131-AFIADA);Rotativas
31_000012609;INSERTO ESP. H490 ANKX170608PNTR IC928;Insertos
31_000005131;INSERTO GIQR 8-1,20-R.6;Insertos
31_000005368;INSERTO P28467-5 WKP35 BRC40WALTER/DURIT;Insertos
31_000015723;INSERTO P6001D20R WPP45C;Insertos
31_000021422;INSERTO SONX 1206PER VP15TF;Insertos
31_000013749;INSERTO SPMT 060304 D51 WKP35;Insertos
31_000020787;INSERTO TAWNH3000T  VP15TF  Ø30,0;Insertos
31_003008810;MACHO DIREITO M10 6H,MANUAL,MARCA OSG;Rotativas
31_003008812;MACHO DIREITO M12 6H, MANUAL, MARCA OSG;Rotativas
31_003001922;MACHO M3 6H DIREITO OSG;Rotativas
31_003040736;PORTA FERRAMENTA DWLNR 2020 K 08;Porta Ferramentas
31_000001885;REBOLO 12,7X30X6 3SW80J6V8N (SIVAT);Abrasivos
31_000019049;REBOLO 200x25,4X31,75 GC80-J6V25;Abrasivos
31_000001433;REBOLO 30X30X8 AA6OJ6V15;Abrasivos
31_003039138;REBOLO 30x30x8 ART GC80 J6V25;Abrasivos
31_000007331;REBOLO 508x40x203,2/508x16x203,2 GP 537;Abrasivos
31_000000341;REBOLO 55X40X12,7 3SW80J6 V8N.;Abrasivos
31_003103752;REBOLO CBN  1A1 D20x30xD8 B151;Abrasivos
31_000018875;FRESA  EPDBPE2010-8-04- ATH Ø1,00xR0,50;Rotativas
31_000021516;FRESA EPDBE2015-12-PN  Ø1,5xR0,75 HITACH;Rotativas
31_000021515;FRESA ESP. EPDBE2020-6-PN  Ø2xR1 HITACHI;Rotativas
31_000021514;FRESA ESP. EPDBE2040-13-PN Ø4xR2 HITACHI;Rotativas
31_000019586;FRESA ESP. ETMLN 4040-20-10-TH Ø4,0xR1,0;Rotativas
31_000020579;FRESA FTE.MD.Ø12x15x10,98x52x95 88422091;Rotativas
31_000025862;FRESA HSLB 2060-100 R3,0 D6,0;Rotativas
31_000020420;FRESA VF2XLBR 0100N080S06 (MITSUBISHI );Rotativas
31_000021187;INSERTO SRFT12 MP8010  MD C/C Ø12;Insertos
31_000027946;INSERTO SUFT 12R05 VP15TF;Insertos
31_000020770;BROCA ESP. TAWMN3000S32 Ø30 5xD;Rotativas
31_003093030;CALÇO SPSVN 32;Acessórios de torno
31_000001866;DRESSADOR LAPIDADO 5D.8226-CT1,5KLT-5D;Dressadores
31_000018873;FRESA  EPDBP 2030 -8-04-TH(Ø3.00 R 1.50);Rotativas
31_000021186;FRESA  ESP. SRFH12S12MW;Rotativas
31_000021600;FRESA  HSLB 2015-080-6 Ø1,5xR0,75;Rotativas
31_000021599;FRESA  HSLB 2030-100 Ø3,0xR1,50;Rotativas
31_000021598;FRESA  HSLB 2040-120 Ø4,0xR2,0;Rotativas
31_003013825;FRESA 2KMBL0200-1200-S4;Rotativas
31_000005436;FRESA DE TOPO ESFERICO 7606-20 Ø20,0 mm;Rotativas
31_000020731;FRESA EPDBE 2020 -10-ATH R1x10 Ø2mm;Rotativas
31_000020730;FRESA EPDBE 2040 - 10 ATH Ø 4mm R2;Rotativas
31_000025410;FRESA EPDBE2030-10ATHØ3,0xR1,5(FORD-MX65;Rotativas
31_000021603;FRESA ESP. EPDBE 2040-10-PN Ø4xR2 HITACH;Rotativas
31_000019398;FRESA ESP. EPDBE2020-8-PN  Ø2xR1,00;Rotativas
31_000019397;FRESA ESP. EPDBE2030-8-PN  Ø3,0xR1,50;Rotativas
31_000023116;FRESA ESP. MS2XLBR0050N120 Ø1,0xR0,5;Rotativas
31_000008224;FRESA ESP.Ø2 CRN2XLBR0100N100S06 R1,0x10;Rotativas
31_000008223;FRESA ESP.Ø3 CRN2XLBR150N160S06 R1,5x15;Rotativas
31_000005433;FRESA FTE 2C 7606-8 Ø8x52L XTR 23160800;Rotativas
31_000006144-R;FRESA FTE MD 2C Ø10x22 (6144-TRANSF.);Rotativas
31_000025408;FRESA HSLB 2030-060 Ø3,0xR1,5(FORD-MX65);Rotativas
31_000025407;FRESA HSLB 2040-080 Ø4,0xR2,0(FORD-MX65);Rotativas
31_000028620;FRESA HSLB 2040-100;Rotativas
31_000025409;FRESA HSLB2020-060-6 Ø2,0xR1,0(FORD-MX6);Rotativas
31_000025406;FRESA MD 2C D6x10x5,8x10xD6x100L ALCRONA;Rotativas
31_000025751;FRESA Ø3x8xØ6x70 R1,5 CRN2MBR0150S06;Rotativas
31_000006143;FRESA T. ESF. D8x25xD8x75L FUT. 88422100;Rotativas
31_000002967;FRESA TOPO ESP. 7C.8420-CT-37 Ø8xR2,5;Rotativas
31_000012395;FRESA TOPO M.D CRN2XLBR0030N060S04 Ø 0,6;Rotativas
31_000012396;FRESA TOPO M.D CRN2XLBR0050N080S04 Ø 1,0;Rotativas
31_000002132-R;FRESA TOPO MD 2C Ø6x15x8 (2132-TRANSF.);Rotativas
31_000021523;FRESA VF2SSBR0200 Ø4,0XR2,00(MITSUBISHI);Rotativas
31_000020416;FRESA VF-2XLB R0150N080S06 (MITSUBISHI );Rotativas
31_000020419;FRESA VF-2XLB R050N060S06 (MITSUBISHI );Rotativas
31_000020418;FRESA VF-2XLB R075N060S06 (MITSUBISHI );Rotativas
31_000021524;FRESA VF2XLBR0075N080S06 Ø1,5XR0,75;Rotativas
31_000025228;FRESA VF2XLBR0150N100S06/EPDBE2030-10 Ø3;Rotativas
31_000003138;GRIND STONE CA3273;Abrasivos
31_000009932;GRIND STONE WA120 (2x5x3) - CMP66H;Abrasivos
31_000009936;GRIND STONE WA120 OX44 ( 8x20x3 );Abrasivos
31_000004193;GRIND STONE WA-180 3x8x3;Abrasivos
31_000009934;GRIND STONE WA80 CM55 ( 4x13x3 );Abrasivos
31_000009935;GRIND STONE WA80 CM55 ( 6x17x3 );Abrasivos
31_000003140;GRINDING WEEL MW001 3x10x3x30;Abrasivos
31_000003139;GRINDING WEEL MWDR6- 6x17x3 WA-220 CM55;Abrasivos
31_000002813;INSERTO TCMT 06T104-PF 5015;Insertos
31_000002715;INSERTO TPGX 110304-HTI05T;Insertos
31_000020219;PASTA DIAMANTADA PD004 D1.1/2 MICRON 1-2;Outros
31_000020220;PASTA DIAMANTADA PD009 D9 MICRON 6-2;Outros
31_000020221;PASTA DIAMANTADA PD010 D15 MICRON 10-20;Outros
31_000020222;PASTA DIAMANTADA PD011 D30 MICRON 20-40;Outros
31_000013350;PORTA FERR. MET. DURO FSTUP1816R-11E Ø16;Porta Ferramentas
31_000001978;PORTA FERR. S16R-SVXBR-16;Porta Ferramentas
31_000001994;PORTA FERR. SVJCR 2525-16;Porta Ferramentas
31_000010263;PORTA FERRAMENTA S25S MTLNL - 16W;Porta Ferramentas
31_003104623;PORTA FERRAMENTA SVJCR 2525 16 06235210;Porta Ferramentas
31_000028089;REBOLO COPO Ø 100X60X32 A60N6V3;Abrasivos
31_000020215;REBOLO PONTA MONTADA DE FELTRO AB0509A;Caracol e Fell
31_000020216;REBOLO PONTA MONTADA DE FELTRO AB0610A;Caracol e Fell
31_000007281;BROCA CONICA AR  6,5mm DIN-345;Rotativas
31_000000282;BROCA CONICA AR 13,0MM DIN-345  TWILL;Rotativas
31_000000285;BROCA CONICA AR 15,5MM DIN-345;Rotativas
31_000000287;BROCA CONICA AR 16,5MM DIN-345;Rotativas
31_000028279;LOGOTIPO 50 2H27310 FI xxx CT;Logotipo
31_000028525;LOGOTIPO008010/2019 INMETRO2H24/27/86320;Logotipo
31_000013348;PORTA FERR. MET. DURO FSTUP1210R-09E Ø10;Porta Ferramentas
31_000016827;BROCA CANHÃO. B4015 F32280Z02140R Ø 28,0;Rotativas
31_000015279;BROCA ESP. B3213F.040Z01120R;Rotativas
31_000000140;BROCHA 130 BX/1;Brocha
31_000013255;BROCHA 16 BE 13/4;Brocha
31_000007116;"BROCHA 17 BE 14/1 C/ REVEST. ""BALINIT A""";Revestimentos
31_000001602;BROCHA 18 BS 50/1 S/ REVESTIMENTO;Revestimentos
31_000012221;BROCHA 6 BS 50/4;Brocha
31_000020973;CARACOL 17HE20/17;Caracol e Fell
31_000013914;CARACOL 20 HE 20/2B;Caracol e Fell
31_000023055;CARACOL 85HC127/1B;Caracol e Fell
31_000016508;CHAMRING 090 - WN20 - 06;Outros
31_000001764;ESCARIADOR ESPECIAL 7A 7703-CT;Rotativas
31_000018939;FRESA ESP.  R220.96-0080-08-7A  90gX80m;Rotativas
31_000013038;FRESA ESPECIAL  HM90F90A D40-A-16;Rotativas
31_000023084;FRESA TOPO ESF. Ø2mm VCXBR0100T0500;Rotativas
31_000002135;FRESA TOPO ESP. 7C.8420-CT-11 Ø10xR1,1;Rotativas
31_000004160;FRESA TOPO ESP. 7C.8420-CT-38 Ø3xR1,5;Rotativas
31_000016826;INSERTO P6001D28R WXP45;Insertos
31_000007997;LOGOTIPO FI-202CT Nº43 (2H26310/2H40310);Logotipo
31_000023247;LOGOTIPO MARC. KBP15T FI-001CT (2H73320);Logotipo
31_000024770;PORTA FERR. AD30NR 2525 M15-A(10162445 );Porta Ferramentas
31_000024768;PORTA FERR. E24X193 STUPR - 11 YU140059;Porta Ferramentas
31_000024769;PORTA FERR. E25X199 SVUCR - 11 YU140061;Porta Ferramentas
31_000024764;PORTA FERR. E26X105 CCLNR - 09 YU150012;Porta Ferramentas
31_000018499;PORTA FERR. GHGR 20-4;Porta Ferramentas
31_000004357;PORTA FERR. MTXNL 2525 -16 (MB-13201);Porta Ferramentas
31_000013994;PORTA FERR. S12M-SVZCL08-16E;Porta Ferramentas
31_000013993;PORTA FERR. S12M-SVZCR 08-16E;Porta Ferramentas
31_000020875;PORTA FERR. SVJCR 2020-16;Porta Ferramentas
31_000025281;PORTA FERR. THSNL 2020 K05;Porta Ferramentas
31_000016988;PORTA FERR.DSSNL 2525 M12 (82.007.804);Porta Ferramentas
31_000016208;PORTA FERR.GAD 4N;Porta Ferramentas
31_000001525;PORTA FERR.L151.21.2020-30;Porta Ferramentas
31_000023010;PORTA FERR.S32K SSSCR 09 ( 8200209481);Porta Ferramentas
31_000011031;PORTA FERR.TGDL 2525-4M;Porta Ferramentas
31_000001235;SHAVING 17 CS 14/1 DT 6507-99 MERGULHO;Shaving
31_000007582;SHAVING 17 CS 14/6 (DT-8084/04);Shaving
31_000024519;SHAVING 17 CS 20/15;Shaving
31_000010497;SHAVING 17 CS 20/5  ( DT-8435/05 );Shaving
31_000021038;SHAVING 20CS 20/ESPECIAL;Shaving
