material;descricao;categoria
31_000027323;PORTA FERR. MD OP/2 4F03810 04183167;Porta Ferramentas
31_003104668;ACIONAMENTO C4-TLE-FJ-A;Outros
31_000028818;BROCA ESC. MD 8,8x17x7x39x12x144;Rotativas
31_000028834;BROCA HSS 4,8mm DIN338 DORMER/OSG REVEST;Rotativas
31_000028676;BROCA MD 3,8mm ADF-2D;Rotativas
31_000028233-R;BROCA MD Ø 3,8 MVS0380 (28233-AFIADA);Rotativas
31_000025633;BRUNIDOR A112+17,0/110DES.020.01362-0000;Brunidores
31_000026784;CALÇO P/PORTA FERR. LLSCN 42;Porta Ferramentas
31_000025920;CHAVE TORX TORQUIMETRO 5680.100-06 T15;Acessórios de torno
31_000028618;FRESA HSLB 2030-060;Rotativas
31_000024965;GRAMPO DLM 4 P/ THSNR/L;Acessórios de torno
31_000028741;INSERTO CCMT 060208-PSS AH725;Insertos
31_000024800;INSERTO CCMT 09T308-CM T515;Insertos
31_000028678;INSERTO CNMG120412GZ AC420K;Insertos
31_000028740;INSERTO DCMT 070208-FV VP15TF;Insertos
31_000028680;INSERTO DCMT11T308-CM T5115;Insertos
31_000026545;INSERTO TPGH 110304L FS  VP15TF;Insertos
31_000028743;INSERTO TPGW 110304 TH10;Insertos
31_000028685;INSERTO TPMT110308PS GT9530;Insertos
31_000028855;INSERTO VNMG160408N GU AC4010K;Insertos
31_000028687;INSERTO WDXT063006-G-ACK300;Insertos
31_000028688;INSERTO WDXT094008-G ACK300?;Insertos
31_000028689;INSERTO WNMG080412-CM T5125?;Insertos
31_000028691;MACHO M10x1,25 1121/5 GGO-HP C D374 6HX;Rotativas
31_000028670;MACHO MAQ. M5 0.8+0.04 6H;Rotativas
31_000028692;PINÇA AR 32x16 (3X);Outros
31_000027013;PINO LLP 24;Acessórios de torno
31_000028747;PORTA FERRAM. E40X220 S2CCR09 YU230009T;Porta Ferramentas
31_000028701;PORTA FERRAM. E40x246 SDUCR11 YU230005TF;Porta Ferramentas
31_000028702;PORTA FERRAM. E40x246 TDJNR15 YU230004TF;Porta Ferramentas
31_000025349;PORTA FERRAMENTA A25R DWLNL 08;Porta Ferramentas
31_000028706;PORTA FERRAMENTA AV23NL2525M16-A X-90640;Porta Ferramentas
31_003104667;PORTA FERRAMENTA C4-DWLNR-27050-08;Porta Ferramentas
31_000024762;PORTA FERRAMENTA DCLNR 2525 M12-A;Porta Ferramentas
31_000028709;PORTA FERRAMENTA DWLNR 2525 M08;Porta Ferramentas
31_000025816-R;BROCA MD ESC. Ø5,1x32xØ8 (25816-AFIADA);Rotativas
31_000025816;BROCA MD ESC. Ø5,1x32xØ8x130 U1603553;Rotativas
31_000025814-RM;BROCA MD ESC. Ø8,75 (25814-AFIADA) MAIOR;Rotativas
31_000025814-R;BROCA MD ESC. Ø8,75 (25814-AFIADA) MENOR;Rotativas
31_000025814;BROCA MD ESC. Ø8,75x21xØ12x145(U1603554A;Rotativas
31_000005341;BROCA PARAL. MD INTEIRICA 6,0 mm DIN-338;Rotativas
31_000005439;FRESA DE TOPO RETO 7226-8 Ø8,0 mm;Rotativas
31_000014802-R;FRESA FTR MD 2C 7226-6 Ø5 (14802-AFIADA);Rotativas
31_000022374;FRESA VF2XLBR 0100N120S06;Rotativas
31_003104780;INSERTO GIPI 3.00E-0.40 IC808;Insertos
31_000028648;INSERTO GY2M0635J318N-BM MY5015;Insertos
31_000027588;INSERTO TNMG 160408 MP MP3025;Insertos
31_000028722;INSERTO TPGB 110308 PV7005;Insertos
31_003103449;INSERTO TPGB110308 PV7005;Insertos
31_000024802;INSERTO TPMH 110304 - FV VP15TF;Insertos
31_003103527;INSERTO WNMA080412 AC4015K;Insertos
31_003104132;INSERTO WPMT110204HQ CCX;Insertos
31_000018219;PARAFUSO SR 76-1021;Acessórios de torno
31_000006255;PARAFUSO SR 76-1499 P/ MGCH;Acessórios de torno
31_000011462;PARAFUSO TS25D ( MITSUBISHI );Acessórios de torno
31_000011464;PARAFUSO TS31D M3x0,5xD4,8x7,2 82°;Acessórios de torno
31_000025753;PORTA FER.BR0602-C1306-11162488YU160054T;Porta Ferramentas
31_000027010;PORTA FERR. A24X 2S0MX GM 0P1 (7172803);Porta Ferramentas
31_000028721;PORTA FERR. ANTIVIBRATORIA KAV - G20-10D;Porta Ferramentas
